Sample,Number of Reads,Average Sequencing Depth,Mitochondrial genome Depth
ERR194146,813180578,52.2025,7897.73
ERR194147,787265109,51.3741,7912.66
ERR194158,859371011,55.0723,7911.85
ERR194159,707646124,46.0197,7901.29
ERR194160,775617169,49.7679,7917.67
ERR194161,843454257,54.6167,7912.82
Downsampling to 40X,,,
ERR194146,623097038,40.0271,7872.87
ERR194147,612966541,40.0332,7909.82
ERR194158,624176590,40.0362,7904.6
ERR194159,615081040,40.0174,7894.11
ERR194160,623387500,40.0307,7914.71
ERR194161,617726268,40.0352,7908.59
Downsampling to 30X,,,
ERR194146,467322778,30.0469,7452.1
ERR194147,459724905,30.0589,7898.8
ERR194158,468132443,30.0593,7853.18
ERR194159,461310780,30.0454,7845.74
ERR194160,467540625,30.0597,7910.55
ERR194161,463294701,30.0565,7894.45
Downsampling to 20X,,,
ERR194146,311548520,20.0574,5122.22
ERR194147,306483270,20.0779,7243.64
ERR194158,312088295,20.0739,6479.95
ERR194159,307540520,20.064,6584.57
ERR194160,311693750,20.0849,7895.89
ERR194161,308863134,20.0718,7143.5
Downsampling to 10X,,,
ERR194146,155774259,10.0714,2570.01
ERR194147,153241635,10.0756,3672.2
ERR194158,156044148,10.0832,3226.64
ERR194159,153770260,10.0689,3293.8
ERR194160,155846875,10.0963,5386.27
ERR194161,154431567,10.1603,3604.44