Dataset,Tool,Reads,Score
sim_novaseq_exponential,ARC,115K,99.99698
sim_novaseq_halfnormal,ARC,115K,99.99698
sim_novaseq_lognormal,ARC,115K,99.99698
sim_novaseq_uniform,ARC,115K,99.99698
sim_novaseq_zeroinflatedlognormal,ARC,115K,99.99698
sim_novaseq_exponential,GetOrganelle,115K,99.99698
sim_novaseq_halfnormal,GetOrganelle,115K,99.99698
sim_novaseq_lognormal,GetOrganelle,115K,99.99698
sim_novaseq_uniform,GetOrganelle,115K,99.99698
sim_novaseq_zeroinflatedlognormal,GetOrganelle,115K,99.99698
sim_novaseq_exponential,IOGA,115K,99.99698
sim_novaseq_halfnormal,IOGA,115K,99.99698
sim_novaseq_lognormal,IOGA,115K,99.99698
sim_novaseq_uniform,IOGA,115K,99.99698
sim_novaseq_zeroinflatedlognormal,IOGA,115K,99.99698
sim_novaseq_exponential,MEANGS,115K,61.28613
sim_novaseq_halfnormal,MEANGS,115K,63.358
sim_novaseq_lognormal,MEANGS,115K,61.63336
sim_novaseq_uniform,MEANGS,115K,61.72614
sim_novaseq_zeroinflatedlognormal,MEANGS,115K,64.2827
sim_novaseq_exponential,Mitobim,115K,99.99698
sim_novaseq_halfnormal,Mitobim,115K,99.99698
sim_novaseq_lognormal,Mitobim,115K,99.99698
sim_novaseq_uniform,Mitobim,115K,99.99698
sim_novaseq_zeroinflatedlognormal,Mitobim,115K,99.99698
sim_novaseq_exponential,MitoFlex,115K,99.99698
sim_novaseq_halfnormal,MitoFlex,115K,99.99698
sim_novaseq_lognormal,MitoFlex,115K,99.99698
sim_novaseq_uniform,MitoFlex,115K,99.99698
sim_novaseq_zeroinflatedlognormal,MitoFlex,115K,99.99698
sim_novaseq_exponential,MitoZ,115K,99.99698
sim_novaseq_halfnormal,MitoZ,115K,99.99698
sim_novaseq_lognormal,MitoZ,115K,99.99698
sim_novaseq_uniform,MitoZ,115K,99.99698
sim_novaseq_zeroinflatedlognormal,MitoZ,115K,99.99698
sim_novaseq_exponential,MToolBox,115K,99.99095
sim_novaseq_halfnormal,MToolBox,115K,99.99698
sim_novaseq_lognormal,MToolBox,115K,99.99396
sim_novaseq_uniform,MToolBox,115K,99.99698
sim_novaseq_zeroinflatedlognormal,MToolBox,115K,99.99698
sim_novaseq_exponential,Novoplasty,115K,99.99698
sim_novaseq_halfnormal,Novoplasty,115K,99.99698
sim_novaseq_lognormal,Novoplasty,115K,99.99698
sim_novaseq_uniform,Novoplasty,115K,99.99698
sim_novaseq_zeroinflatedlognormal,Novoplasty,115K,99.99698
sim_novaseq_exponential,Org.Asm,115K,99.99396
sim_novaseq_halfnormal,Org.Asm,115K,99.98189
sim_novaseq_lognormal,Org.Asm,115K,99.99396
sim_novaseq_uniform,Org.Asm,115K,99.97586
sim_novaseq_zeroinflatedlognormal,Org.Asm,115K,99.99095
sim_novaseq_exponential,ARC,175K,99.99698
sim_novaseq_halfnormal,ARC,175K,99.99698
sim_novaseq_lognormal,ARC,175K,99.99698
sim_novaseq_uniform,ARC,175K,99.99698
sim_novaseq_zeroinflatedlognormal,ARC,175K,99.99698
sim_novaseq_exponential,GetOrganelle,175K,99.99698
sim_novaseq_halfnormal,GetOrganelle,175K,99.98491
sim_novaseq_lognormal,GetOrganelle,175K,99.99698
sim_novaseq_uniform,GetOrganelle,175K,99.99698
sim_novaseq_zeroinflatedlognormal,GetOrganelle,175K,99.99698
sim_novaseq_exponential,IOGA,175K,99.99698
sim_novaseq_halfnormal,IOGA,175K,99.99698
sim_novaseq_lognormal,IOGA,175K,99.99698
sim_novaseq_uniform,IOGA,175K,99.99698
sim_novaseq_zeroinflatedlognormal,IOGA,175K,99.99698
sim_novaseq_exponential,MEANGS,175K,65.48833
sim_novaseq_halfnormal,MEANGS,175K,65.44692
sim_novaseq_lognormal,MEANGS,175K,62.79329
sim_novaseq_uniform,MEANGS,175K,60.00159
sim_novaseq_zeroinflatedlognormal,MEANGS,175K,66.36452
sim_novaseq_exponential,Mitobim,175K,99.99698
sim_novaseq_halfnormal,Mitobim,175K,99.99698
sim_novaseq_lognormal,Mitobim,175K,99.99698
sim_novaseq_uniform,Mitobim,175K,99.99698
sim_novaseq_zeroinflatedlognormal,Mitobim,175K,99.99698
sim_novaseq_exponential,MitoFlex,175K,99.99698
sim_novaseq_halfnormal,MitoFlex,175K,99.99698
sim_novaseq_lognormal,MitoFlex,175K,99.99698
sim_novaseq_uniform,MitoFlex,175K,99.99698
sim_novaseq_zeroinflatedlognormal,MitoFlex,175K,99.99698
sim_novaseq_exponential,MitoZ,175K,99.99698
sim_novaseq_halfnormal,MitoZ,175K,99.99698
sim_novaseq_lognormal,MitoZ,175K,99.99698
sim_novaseq_uniform,MitoZ,175K,99.99698
sim_novaseq_zeroinflatedlognormal,MitoZ,175K,99.99698
sim_novaseq_exponential,MToolBox,175K,99.99698
sim_novaseq_halfnormal,MToolBox,175K,99.99698
sim_novaseq_lognormal,MToolBox,175K,99.99698
sim_novaseq_uniform,MToolBox,175K,99.99396
sim_novaseq_zeroinflatedlognormal,MToolBox,175K,99.99396
sim_novaseq_exponential,Novoplasty,175K,99.99698
sim_novaseq_halfnormal,Novoplasty,175K,99.99698
sim_novaseq_lognormal,Novoplasty,175K,99.99698
sim_novaseq_uniform,Novoplasty,175K,99.99698
sim_novaseq_zeroinflatedlognormal,Novoplasty,175K,99.99698
sim_novaseq_exponential,Org.Asm,175K,99.99698
sim_novaseq_halfnormal,Org.Asm,175K,99.99698
sim_novaseq_lognormal,Org.Asm,175K,99.99698
sim_novaseq_uniform,Org.Asm,175K,99.99095
sim_novaseq_zeroinflatedlognormal,Org.Asm,175K,99.99095
sim_novaseq_exponential,ARC,225K,99.99698
sim_novaseq_halfnormal,ARC,225K,99.99698
sim_novaseq_lognormal,ARC,225K,99.99698
sim_novaseq_uniform,ARC,225K,99.99698
sim_novaseq_zeroinflatedlognormal,ARC,225K,99.99698
sim_novaseq_exponential,GetOrganelle,225K,99.99698
sim_novaseq_halfnormal,GetOrganelle,225K,99.99095
sim_novaseq_lognormal,GetOrganelle,225K,99.99698
sim_novaseq_uniform,GetOrganelle,225K,99.99698
sim_novaseq_zeroinflatedlognormal,GetOrganelle,225K,99.99698
sim_novaseq_exponential,IOGA,225K,99.99698
sim_novaseq_halfnormal,IOGA,225K,99.99698
sim_novaseq_lognormal,IOGA,225K,99.99698
sim_novaseq_uniform,IOGA,225K,99.99698
sim_novaseq_zeroinflatedlognormal,IOGA,225K,99.99698
sim_novaseq_exponential,MEANGS,225K,61.96264
sim_novaseq_halfnormal,MEANGS,225K,63.44378
sim_novaseq_lognormal,MEANGS,225K,63.49676
sim_novaseq_uniform,MEANGS,225K,65.01889
sim_novaseq_zeroinflatedlognormal,MEANGS,225K,62.29534
sim_novaseq_exponential,Mitobim,225K,99.99698
sim_novaseq_halfnormal,Mitobim,225K,99.99698
sim_novaseq_lognormal,Mitobim,225K,99.99698
sim_novaseq_uniform,Mitobim,225K,99.99698
sim_novaseq_zeroinflatedlognormal,Mitobim,225K,99.99698
sim_novaseq_exponential,MitoFlex,225K,99.99698
sim_novaseq_halfnormal,MitoFlex,225K,99.99698
sim_novaseq_lognormal,MitoFlex,225K,99.99698
sim_novaseq_uniform,MitoFlex,225K,99.99698
sim_novaseq_zeroinflatedlognormal,MitoFlex,225K,99.99698
sim_novaseq_exponential,MitoZ,225K,99.99698
sim_novaseq_halfnormal,MitoZ,225K,99.99698
sim_novaseq_lognormal,MitoZ,225K,99.99698
sim_novaseq_uniform,MitoZ,225K,99.99698
sim_novaseq_zeroinflatedlognormal,MitoZ,225K,99.99698
sim_novaseq_exponential,MToolBox,225K,99.99698
sim_novaseq_halfnormal,MToolBox,225K,99.99698
sim_novaseq_lognormal,MToolBox,225K,99.99698
sim_novaseq_uniform,MToolBox,225K,99.99698
sim_novaseq_zeroinflatedlognormal,MToolBox,225K,99.99698
sim_novaseq_exponential,Novoplasty,225K,99.99698
sim_novaseq_halfnormal,Novoplasty,225K,99.99698
sim_novaseq_lognormal,Novoplasty,225K,99.99698
sim_novaseq_uniform,Novoplasty,225K,99.99698
sim_novaseq_zeroinflatedlognormal,Novoplasty,225K,99.99698
sim_novaseq_exponential,Org.Asm,225K,99.98793
sim_novaseq_halfnormal,Org.Asm,225K,99.99095
sim_novaseq_lognormal,Org.Asm,225K,99.99396
sim_novaseq_uniform,Org.Asm,225K,99.99095
sim_novaseq_zeroinflatedlognormal,Org.Asm,225K,99.99698